Mes de consulta;Tipo de atención;Tipo de usuario;Unidad de Negocio - Modalidad de Estudios;Sede de procedencia;Carrera;Tema consultado
Abril;Correo;Externo;No aplica;No aplica;No aplica;Acceso a tesis de repositorio
Setiembre;Correo;Estudiante;Pregrado Semipresencial - Gente Que Trabaja;Lambramani;Ingeniería Mecánica;Solicitud de bibliografía
Octubre;Correo;Estudiante;Pregrado Semipresencial - A Distancia (Virtual);Virtual;Ingeniería de Sistemas e Informática;descarga de libro
Octubre;Correo;Docente;No aplica;No aplica;No aplica;acceso a silabos
Octubre;Correo;Estudiante;Pregrado Semipresencial - A Distancia (Virtual);Virtual;Psicología;descarga de libro
Noviembre;Correo;Estudiante;Pregrado Semipresencial - A Distancia (Virtual);Virtual;Derecho;donación de libros
Diciembre;Correo;Estudiante;Pregrado Semipresencial - A Distancia (Virtual);Virtual;Contabilidad;Acceso a libros digitales de Pearson
Diciembre;Correo;Estudiante;Pregrado Semipresencial - A Distancia (Virtual);Virtual;Derecho;acceso a libro digital
Diciembre;Chat;Estudiante;Pregrado Semipresencial - A Distancia (Virtual);Virtual;Ingeniería Industrial;Libros de filosofía del derecho 
Diciembre;Chat;Estudiante;Pregrado Semipresencial - A Distancia (Virtual);Virtual;Ingeniería Industrial;Libros de emprendimiento
Enero;Correo;Externo;No aplica;No aplica;No aplica;Acceso al repositorio 
Enero;Correo;Estudiante;Pregrado Semipresencial - A Distancia (Virtual);Virtual;Contabilidad;Acceso al repositorio
Enero;Correo;Estudiante;Pregrado Presencial;Huancayo;Ingeniería Eléctrica;acceso a documentos de repositorio
Enero;Correo;Estudiante;Pregrado Semipresencial - A Distancia (Virtual);Virtual;Derecho;Acceso a revista digital de Actualidad Gubernamental
Enero;Correo;Estudiante;Pregrado Semipresencial - Gente Que Trabaja;Huancayo;Derecho;Accesp a revista digital Actualidad Empresarial
Enero;Correo;Estudiante;Pregrado Presencial;Huancayo;Ingeniería Civil;Solicitud de sílabos de carrera
Enero;Correo;Estudiante;Pregrado Semipresencial - A Distancia (Virtual);Virtual;Administración;Acceso a libro electrónico de Investigación de operaciones
